dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
1461,bo_div,600,3600,25,0.025,0.2,3602.485097632,5,0.06668141103616057,0.9333185889638393,0.8940257459045242,0.05298712704773793,0.5719891401333836,0.21400542993330815,0.0976224704191087,0.7369936143246858,0.7518423603803446,0.7518423603803446,0.884662169633971,0.7518423603803446
1461,bo_div,600,3600,25,0.025,0.2,3804.914123984,7,0.06111541155221349,0.9388845884477862,0.34345739999196756,0.3282713000040162,0.2185569182251806,0.3907215408874097,0.3274935098444996,0.726949657124992,0.8001212694406928,0.8001212694406928,0.8548048214088245,0.8001212694406927
1461,bo_div,600,3600,25,0.025,0.2,4151.923797471,5,0.054218732721441995,0.9457812672785579,0.07731931767440693,0.46134034116279654,0.08711477264155472,0.4564426136792227,0.4191750525268163,0.7356506406297696,0.762810053822562,0.762810053822562,0.8786906999889417,0.762810053822562
1461,bo_div,600,3600,25,0.025,0.2,3762.678539739,5,0.07215525821077076,0.9278447417892293,0.9652267778521578,0.017386611073921022,0.6692995638044533,0.16535021809777334,0.06097534004202145,0.7505518026550164,0.7218763797432094,0.7218763797432094,0.9092115448413137,0.7218763797432095
1486,bo_div,600,3600,25,0.025,0.2,3876.874200608,11,0.03226725399944606,0.9677327460005541,0.8122147644941334,0.09389261775293317,0.386705592895396,0.3066472035523021,0.12453740949316167,0.9612344388621523,0.9589160006089513,0.9589160006089513,0.9685187871753953,0.9589160006089513
1486,bo_div,600,3600,25,0.025,0.2,3666.076930735,4,0.027032254944629814,0.9729677450553701,0.958072929811426,0.020963535094287073,0.5139652441587339,0.24301737792063305,0.04712510276125537,0.9538024763452502,0.9504857273936099,0.9504857273936099,0.9625707239228203,0.9504857273936098
1486,bo_div,600,3600,25,0.025,0.2,4104.909451935,12,0.028995159780013977,0.9710048402199859,0.8447609333127349,0.07761953334363259,0.4114586319797882,0.2942706840101058,0.09975425222777613,0.9585868348078836,0.9566308859623102,0.9566308859623102,0.9663426664732337,0.9566308859623102
1486,bo_div,600,3600,25,0.025,0.2,3836.356112456,5,0.025591179457420572,0.9744088205425794,0.9317703450660959,0.03411482746695207,0.4697751136703869,0.26511244316480653,0.06139561874365298,0.9592166270394147,0.958307049271837,0.958307049271837,0.966777890613666,0.958307049271837
1486,bo_div,600,3600,25,0.025,0.2,3615.40153719,6,0.028424972194013253,0.9715750278059867,0.9829238281778052,0.008538085911097408,0.6434872899173647,0.1782563550413176,0.030243241936263845,0.9602118124303365,0.9584591323928694,0.9584591323928694,0.9676483388945307,0.9584591323928693
1494,bo_div,600,3600,25,0.025,0.2,3608.901468317,19,0.1030736398658574,0.8969263601341432,0.5388656947432802,0.23056715262835994,0.293037132778311,0.35348143361084466,0.2782627975943018,0.8456635318704284,0.8340543259557344,0.8340543259557344,0.8672985781990521,0.8340543259557345
1494,bo_div,600,3600,25,0.025,0.2,3753.842734193,18,0.15107022271783918,0.8489297772821619,0.6220354769443299,0.1889822615278351,0.38414710347960423,0.30792644826019805,0.24762258773967738,0.7922367330016584,0.784456740442656,0.784456740442656,0.8199052132701422,0.7844567404426559
